reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,84,32,0,0,0,l,3.3921580000023823,None,0,0,0,81,0.15599739999743178,,0.15033459999540355,0.15599739999743178,1.0008126999891829,1.0008126999891829,1.167231899991748,4.410776099990471,l,3.3921580000023823,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
61,120,143,1,1,0,t,3.6737225000106264,None,0,1,1,20,4.422911699992255,,4.418832600000314,4.422911699992255,5.4134869999979855,5.4134869999979855,5.430409599997802,9.094576699993922,t,3.6737225000106264,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
11,80,38,2,2,0,l,2.6076470999978483,None,0,2,2,90,9.110013400000753,,9.10040840000147,9.110013400000753,10.109236299991608,10.109236299991608,10.109236299991608,12.724892199999886,l,2.6076470999978483,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
50,72,189,3,3,0,t,2.4414580000011483,None,0,3,3,9,12.740785299989511,,12.736255399999209,12.740785299989511,13.739459899996291,13.739459899996291,13.756142199999886,16.18838500000129,t,2.4414580000011483,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
19,66,70,4,4,0,l,2.035232200010796,None,0,4,4,15,16.203797800000757,,16.194286400001147,16.203797800000757,17.203054999990854,17.203054999990854,17.203054999990854,19.25254380000115,l,2.035232200010796,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
78,80,34,5,5,0,t,2.2818823999987217,None,0,5,5,6,19.267821599991294,,19.26067009998951,19.267821599991294,20.267018799990183,20.267018799990183,20.267018799990183,22.5659169999999,t,2.2818823999987217,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
30,81,56,6,6,0,l,2.1017728000006173,None,0,6,6,36,22.581558199992287,,22.571985100003076,22.581558199992287,23.580829500002437,23.580829500002437,23.580829500002437,25.697338500001933,l,2.1017728000006173,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
60,152,178,7,7,0,l,2.497306100005517,None,0,7,7,47,25.712547099989024,,25.702384099990013,25.712547099989024,26.71158609999111,26.71158609999111,26.71158609999111,29.211161100000027,l,2.497306100005517,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
16,63,200,8,8,0,t,3.385784499987494,None,0,8,8,45,29.226172900001984,,29.216427599996678,29.226172900001984,30.22516099999484,30.22516099999484,30.241941200001747,33.623587599999155,t,3.385784499987494,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
11,30,137,9,9,0,t,2.1014139000035357,None,0,9,9,0,33.63906400000269,,33.628668099991046,33.63906400000269,34.63812779998989,34.63812779998989,34.65484299999662,36.75432379999256,t,2.1014139000035357,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
22,121,50,10,10,0,l,3.832681900006719,None,0,10,10,63,36.7696433999954,,36.76021339998988,36.7696433999954,37.768838599993614,37.768838599993614,37.785337499997695,41.61699840000074,l,3.832681900006719,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
5,42,110,11,11,0,l,1.8280553000076907,None,0,11,11,34,41.631907199989655,,41.62447369999427,41.631907199989655,42.63105349999387,42.63105349999387,42.63105349999387,44.46417019999353,l,1.8280553000076907,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
15,98,80,12,12,0,l,2.3156412999960594,None,0,12,12,56,44.479472199993324,,44.47014869999839,44.479472199993324,45.47853700000269,45.47853700000269,45.47853700000269,47.811426499989466,l,2.3156412999960594,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
45,132,167,13,13,0,l,1.47819919999165,None,0,13,13,88,47.82645579999371,,47.81721959999413,47.82645579999371,48.82585399999516,48.82585399999516,48.82585399999516,50.30914240000129,l,1.47819919999165,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
10,43,25,14,14,0,l,1.872807300009299,None,0,14,14,24,50.3242986999976,,50.314714399995864,50.3242986999976,51.32366689998889,51.32366689998889,51.32366689998889,53.206923399993684,l,1.872807300009299,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
57,75,128,15,15,0,t,2.9226373999990756,None,0,15,15,74,53.22173399999156,,53.21256590000121,53.22173399999156,54.22095449999324,54.22095449999324,54.22095449999324,57.15329829999246,t,2.9226373999990756,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
18,61,102,16,16,0,l,2.0407612999988487,None,0,16,16,12,57.16833039998892,,57.15935869999521,57.16833039998892,58.16753239999525,58.16753239999525,58.16753239999525,60.217166399990674,l,2.0407612999988487,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
47,137,14,17,17,0,l,1.889087899995502,None,0,17,17,26,60.23234209998918,,60.222806699996,60.23234209998918,61.231718099996215,61.231718099996215,61.231718099996215,63.13096999999834,l,1.889087899995502,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
66,148,18,18,18,0,l,2.8239616000064416,None,0,18,18,93,63.1466259000008,,63.13637019999442,63.1466259000008,64.14584469998954,64.14584469998954,64.1624032999971,66.97775629999524,l,2.8239616000064416,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
56,125,61,19,19,0,t,2.4428317999991123,None,0,19,19,31,66.9931557999953,,66.98164769999858,66.9931557999953,67.9923160999897,67.9923160999897,67.9923160999897,70.44173399999272,t,2.4428317999991123,None,0001,001,2025-11-06_14h30.38.441,Delay Discounting Main,2024.2.4,60.06384787048703,2025-11-06 14h30.56.954371 +0530,
