16.6282 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
16.6612 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
19.0746 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020B4CD1A170>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020B4CD1A800>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020B5613B8B0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.0747 	EXP 	window1: backgroundImage = ''
19.0747 	EXP 	window1: backgroundFit = 'none'
19.2665 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.2666 	EXP 	window1: recordFrameIntervals = False
19.4218 	EXP 	window1: recordFrameIntervals = True
19.6047 	EXP 	Screen (0) actual frame rate measured at 60.23Hz
19.6047 	EXP 	window1: recordFrameIntervals = False
24.8038 	INFO 	keyboard.Keyboard is using iohub backend.
24.8039 	INFO 	keyboard.Keyboard is using iohub backend.
24.8039 	EXP 	untitled: status = STARTED
