11.8128 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
11.8291 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.8625 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022DD75D24A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022DD75D2440>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022DD768E8F0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.8625 	EXP 	window1: backgroundImage = ''
13.8626 	EXP 	window1: backgroundFit = 'none'
14.0549 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.0549 	EXP 	window1: recordFrameIntervals = False
14.2144 	EXP 	window1: recordFrameIntervals = True
14.3978 	EXP 	Screen (0) actual frame rate measured at 59.90Hz
14.3979 	EXP 	window1: recordFrameIntervals = False
19.5038 	INFO 	keyboard.Keyboard is using iohub backend.
19.5038 	INFO 	keyboard.Keyboard is using iohub backend.
19.5039 	EXP 	Delay Discounting Main: status = STARTED
19.5094 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=True, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
