study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,0,0,0,1.0888888888888888,1.4111325000412762,,,,,,,,,,,,0,0,0,4,,,,,0.07642420008778572,,0.02616359991952777,0.07642420008778572,0.07642420008778572,1.4560126001015306,1.0888888888888888,1.4111325000412762,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
chart,1,1,0,1.0888888888888888,0.7518315999768674,,,,,,,,,,,,0,1,1,6,,,,,1.4805256000254303,,1.465339899994433,1.4805256000254303,1.4805256000254303,2.233938799938187,1.0888888888888888,0.7518315999768674,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
mouse,2,2,0,1.0888888888888888,1.306505599990487,,,,,,,,,,,,0,2,2,8,,,,,2.2629738999530673,,2.2458496000617743,2.2629738999530673,2.2629738999530673,3.5684122000820935,1.0888888888888888,1.306505599990487,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
keys,3,3,0,1.0888888888888888,0.9154370001051575,,,,,,,,,,,,0,3,3,13,,,,,3.593612200114876,,3.5780853000469506,3.593612200114876,3.593612200114876,4.5102603998966515,1.0888888888888888,0.9154370001051575,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
case,4,4,0,1.0888888888888888,0.8091182000935078,,,,,,,,,,,,0,4,4,10,,,,,4.526826800080016,,4.515530399978161,4.526826800080016,4.526826800080016,5.34473569993861,1.0888888888888888,0.8091182000935078,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
pastry,5,5,0,1.0888888888888888,1.0147265999112278,,,,,,,,,,,,0,5,5,9,,,,,5.373684900114313,,5.3536433998961,5.373684900114313,5.373684900114313,6.386850599898025,1.0888888888888888,1.0147265999112278,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
book,6,6,0,1.0888888888888888,0.867343399906531,,,,,,,,,,,,0,6,6,0,,,,,6.408970199991018,,6.392623000079766,6.408970199991018,6.408970199991018,7.275595099898055,1.0888888888888888,0.867343399906531,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
tshirt,7,7,0,1.0888888888888888,0.8999154998455197,,,,,,,,,,,,0,7,7,7,,,,,7.2992378999479115,,7.283390900120139,7.2992378999479115,7.2992378999479115,8.199863099958748,1.0888888888888888,0.8999154998455197,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
cruise,8,8,0,1.0888888888888888,1.3074014999438077,,,,,,,,,,,,0,8,8,11,,,,,8.223920299904421,,8.206714499974623,8.223920299904421,8.223920299904421,9.529481099918485,1.0888888888888888,1.3074014999438077,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
marble,9,9,0,1.0888888888888888,0.9268864998593926,,,,,,,,,,,,0,9,9,3,,,,,9.5522674000822,,9.53636149992235,9.5522674000822,9.5522674000822,10.480322600109503,1.0888888888888888,0.9268864998593926,,,,,,,,,,,,,,,,0004,001,2025-10-16_14h51.36.521,Word_PrimingExp,2024.2.4,59.86392932577109,2025-10-16 14h51.51.487340 +0530,
