pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.6000045000109822,None,0,0,0,0,,,,,0.015764999901875854,,0.011729899910278618,0.015764999901875854,1.0046650998992845,1.0046650998992845,1.0046650998992845,1.0046650998992845,1.0212901999475434,2.0039434999926016,2.0039434999926016,2.6110731998924166,x,1,0.6000045000109822,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,1,1,0,v,1,0.49674930004402995,None,0,1,1,1,,,,,2.620101199951023,,2.6116059999912977,2.620101199951023,3.619110199972056,3.619110199972056,3.619110199972056,3.619110199972056,3.6356544999871403,4.618241299991496,4.618241299991496,5.1197240999899805,v,1,0.49674930004402995,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,2,2,0,c,1,0.6774271000176668,None,0,2,2,2,,,,,5.134583799983375,,5.120562199968845,5.134583799983375,6.133703999919817,6.133703999919817,6.133703999919817,6.133703999919817,6.133703999919817,7.13301909994334,7.13301909994334,7.816875799908303,c,1,0.6774271000176668,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,3,3,0,z,1,0.44316270004492253,None,0,3,3,3,,,,,7.832350099924952,,7.817248799954541,7.832350099924952,8.831655399990268,8.831655399990268,8.831655399990268,8.831655399990268,8.831655399990268,9.83088029990904,9.83088029990904,10.282290100003593,z,1,0.44316270004492253,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,4,0,1,x,1,0.517361499951221,None,1,0,4,0,,,,,10.297194099985063,,10.282799799926579,10.297194099985063,11.29644659999758,11.29644659999758,11.29644659999758,11.29644659999758,11.29644659999758,12.29574489989318,12.29574489989318,12.83008049998898,x,1,0.517361499951221,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,5,1,1,v,1,0.45325199991930276,None,1,1,5,1,,,,,12.845096899894997,,12.830597899970599,12.845096899894997,13.844431899953634,13.844431899953634,13.844431899953634,13.844431899953634,13.844431899953634,14.84336199995596,14.84336199995596,15.31108069990296,v,1,0.45325199991930276,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,6,2,1,c,1,0.5759015999501571,None,1,2,6,2,,,,,15.326248099911027,,15.311454899958335,15.326248099911027,16.325388700002804,16.325388700002804,16.325388700002804,16.325388700002804,16.325388700002804,17.32446519995574,17.32446519995574,17.90854999993462,c,1,0.5759015999501571,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,7,3,1,z,1,0.3879224000265822,None,1,3,7,3,,,,,17.923913699924015,,17.9089282999048,17.923913699924015,18.923083600006066,18.923083600006066,18.923083600006066,18.923083600006066,18.923083600006066,19.922245399910025,19.922245399910025,20.323203000007197,z,1,0.3879224000265822,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,8,0,2,x,1,0.4952404999639839,None,2,0,8,0,,,,,20.338544699945487,,20.323583099991083,20.338544699945487,21.337653999915347,21.337653999915347,21.337653999915347,21.337653999915347,21.337653999915347,22.33673949993681,22.33673949993681,22.837443199940026,x,1,0.4952404999639839,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,9,1,2,v,1,0.45089269999880344,None,2,1,9,1,,,,,22.85301530000288,,22.83784159994684,22.85301530000288,23.852275699959137,23.852275699959137,23.852275699959137,23.852275699959137,23.852275699959137,24.851448299945332,24.851448299945332,25.31929199991282,v,1,0.45089269999880344,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
