pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2671924999449402,None,0,0,0,0,,,,,0.014841999975033104,,0.010631199926137924,0.014841999975033104,1.014996899990365,1.014996899990365,1.014996899990365,1.014996899990365,1.014996899990365,2.013297599973157,2.013297599973157,3.3021193998865783,x,1,1.2671924999449402,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,1,1,0,v,1,0.7645711000077426,None,0,1,1,1,,,,,3.3120662999572232,,3.3026655999710783,3.3120662999572232,4.311224999953993,4.311224999953993,4.311224999953993,4.311224999953993,4.311224999953993,5.310451299999841,5.310451299999841,6.078210599953309,v,1,0.7645711000077426,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,2,2,0,c,1,0.4564416999928653,None,0,2,2,2,,,,,6.092846099985763,,6.07873029995244,6.092846099985763,7.092172599979676,7.092172599979676,7.092172599979676,7.092172599979676,7.092172599979676,8.091378299985081,8.091378299985081,8.559385199914686,c,1,0.4564416999928653,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,3,3,0,z,1,0.4088724000612274,None,0,3,3,3,,,,,8.574255999992602,,8.559961899998598,8.574255999992602,9.573553999885917,9.573553999885917,9.573553999885917,9.573553999885917,9.573553999885917,10.572878199978732,10.572878199978732,10.991200399934314,z,1,0.4088724000612274,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,4,0,1,x,1,0.5627934000222012,None,1,0,4,0,,,,,11.006045699934475,,10.991784999961965,11.006045699934475,12.005089999991469,12.005089999991469,12.005089999991469,12.005089999991469,12.005089999991469,13.004363799933344,13.004363799933344,13.571905799908563,x,1,0.5627934000222012,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,5,1,1,v,1,0.44944580004084855,None,1,1,5,1,,,,,13.5870644999668,,13.57235289993696,13.5870644999668,14.586229499895126,14.586229499895126,14.586229499895126,14.586229499895126,14.586229499895126,15.585337999975309,15.585337999975309,16.037113399943337,v,1,0.44944580004084855,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,6,2,1,c,1,0.44870930002070963,None,1,2,6,2,,,,,16.051584799890406,,16.037783499923535,16.051584799890406,17.05093239992857,17.05093239992857,17.05093239992857,17.05093239992857,17.05093239992857,18.049916499992833,18.049916499992833,18.50132159993518,c,1,0.44870930002070963,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,7,3,1,z,1,0.5278150000376627,None,1,3,7,3,,,,,18.51623449998442,,18.501915199914947,18.51623449998442,19.53197909996379,19.51521809992846,19.51521809992846,19.51521809992846,19.51521809992846,20.514536699978635,20.514536699978635,21.0488777999999,z,1,0.5278150000376627,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,8,0,2,x,1,0.8506353000411764,None,2,0,8,0,,,,,21.063940599909984,,21.049358499934897,21.063940599909984,22.06315929989796,22.06315929989796,22.06315929989796,22.06315929989796,22.06315929989796,23.062196599901654,23.062196599901654,23.93010079988744,x,1,0.8506353000411764,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,9,1,2,v,1,0.4270914999069646,None,2,1,9,1,,,,,23.944755299948156,,23.930708699976094,23.944755299948156,24.943833399913274,24.943833399913274,24.943833399913274,24.943833399913274,24.943833399913274,25.943010999937542,25.943010999937542,26.377870099968277,v,1,0.4270914999069646,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
