thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp_2.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.002928900001279544,0.00904120000632247,0.00904120000632247,3.2620542000004207,space,3.14187249999668,None,,,,,,,,,,,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
0,0,0,down,1,2.2595169999985956,None,-4,0,0,0,0,3.2696610000057262,,,,,,,,,3.2644366000022274,3.2696610000057262,3.2696610000057262,4.31983400000172,5.542167200001131,down,1,2.2595169999985956,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
1,0,1,down,1,1.764901499998814,None,4,1,0,1,0,5.557287900002848,,,,,,,,,5.542735400005768,5.557287900002848,5.557287900002848,6.556511500006309,7.325238400000671,down,1,1.764901499998814,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
2,0,2,down,1,1.485625200002687,None,4,2,0,2,0,7.339154100001906,,,,,,,,,7.325857000003452,7.339154100001906,7.339154100001906,8.338613800005987,8.839019600003667,down,1,1.485625200002687,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
3,0,3,up,1,1.6590355000007548,None,0,3,0,3,0,8.854518600004667,,,,,,,,,8.839345400003367,8.854518600004667,8.854518600004667,9.853817200004414,10.521349500006181,up,1,1.6590355000007548,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
4,0,4,up,1,1.5648078999947757,None,0,4,0,4,0,10.536561000000802,,,,,,,,,10.521767000005639,10.536561000000802,10.536561000000802,11.53611240000464,12.103538000003027,up,1,1.5648078999947757,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
5,0,5,down,1,3.465732599994226,None,3,5,0,5,0,12.11882140000671,,,,,,,,,12.103887600002054,12.11882140000671,12.11882140000671,13.118045500006701,15.599719100006041,down,1,3.465732599994226,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
6,0,6,up,0,1.6496985999983735,None,-5,6,0,6,0,15.615159500004665,,,,,,,,,15.600073500005237,15.615159500004665,15.615159500004665,16.614409200003138,17.281781800003955,up,0,1.6496985999983735,None,-5,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
7,0,7,down,1,0.02313480000157142,None,4,7,0,7,0,17.29721140000038,,,,,,,,,17.282086200000776,17.29721140000038,17.29721140000038,,17.331831700001203,down,1,0.02313480000157142,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
8,0,8,down,1,2.092726099996071,None,-3,8,0,8,0,17.347162000005483,,,,,,,,,17.33215829999972,17.347162000005483,17.347162000005483,18.346300400000473,19.446626200005994,down,1,2.092726099996071,None,-3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
9,0,9,down,1,1.577924700002768,None,4,9,0,9,0,19.46210570000403,,,,,,,,,19.446962600006373,19.46210570000403,19.46210570000403,20.46133450000343,21.045123200005037,down,1,1.577924700002768,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
10,0,10,down,1,1.4831450000056066,None,4,10,0,10,0,21.060372700005246,,,,,,,,,21.04562110000552,21.060372700005246,21.060372700005246,22.059579700005997,22.560359200004314,down,1,1.4831450000056066,None,4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
11,0,11,up,1,1.5687808000002406,None,0,11,0,11,0,22.57576230000268,,,,,,,,,22.56065070000477,22.57576230000268,22.57576230000268,23.57497130000411,24.16096220000327,up,1,1.5687808000002406,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
12,0,12,up,1,1.5366089999952237,None,0,12,0,12,0,24.174619400000665,,,,,,,,,24.1614819000024,24.174619400000665,24.174619400000665,25.174028800000087,25.72405450000224,up,1,1.5366089999952237,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
13,0,13,up,1,1.476040000001376,None,0,13,0,13,0,25.73965770000359,,,,,,,,,25.72448340000119,25.73965770000359,25.73965770000359,26.73886350000248,27.22304940000322,up,1,1.476040000001376,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
14,0,14,up,1,1.5443980999989435,None,0,14,0,14,0,27.238548600005743,,,,,,,,,27.223370700005034,27.238548600005743,27.238548600005743,28.23781350000354,28.788395800002036,up,1,1.5443980999989435,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
15,0,15,up,1,1.4225426999983029,None,0,15,0,15,0,28.803699300005974,,,,,,,,,28.788867400005984,28.803699300005974,28.803699300005974,29.80304480000632,30.237942400002794,up,1,1.4225426999983029,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
16,0,16,up,1,1.3751260999997612,None,0,16,0,16,0,30.252743000004557,,,,,,,,,30.238486300004297,30.252743000004557,30.252743000004557,31.268550799999502,31.635625800001435,up,1,1.3751260999997612,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
17,0,17,down,1,1.5589905000015278,None,3,17,0,17,0,31.65118710000388,,,,,,,,,31.63612060000014,31.65118710000388,31.65118710000388,32.650410200003535,33.217618100003165,down,1,1.5589905000015278,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
18,0,18,up,1,1.5500144999969052,None,0,18,0,18,0,33.23325210000621,,,,,,,,,33.21792000000278,33.23325210000621,33.23325210000621,34.232589300001564,34.799701300005836,up,1,1.5500144999969052,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
19,0,19,up,1,1.4581966000041575,None,0,19,0,19,0,34.81518870000582,,,,,,,,,34.800047300006554,34.81518870000582,34.81518870000582,35.81425540000055,36.28211320000264,up,1,1.4581966000041575,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
20,0,20,up,0,1.4250501999995322,None,3,20,0,20,0,36.29721370000334,,,,,,,,,36.28245500000048,36.29721370000334,36.29721370000334,37.29636410000239,37.730453600001056,up,0,1.4250501999995322,None,3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
21,0,21,up,1,1.563964599998144,None,0,21,0,21,0,37.745858000002045,,,,,,,,,37.730864800003474,37.745858000002045,37.745858000002045,38.74516810000205,39.31259520000458,up,1,1.563964599998144,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
22,0,22,up,1,1.4864146000036271,None,0,22,0,22,0,39.327901100004965,,,,,,,,,39.312881700003345,39.327901100004965,39.327901100004965,40.32719970000471,40.82802050000464,up,1,1.4864146000036271,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
23,0,23,up,1,1.4308840999947279,None,0,23,0,23,0,40.843450800006394,,,,,,,,,40.82845680000173,40.843450800006394,40.843450800006394,41.8590675000014,42.27735020000546,up,1,1.4308840999947279,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
24,0,24,up,1,1.4661003000001074,None,0,24,0,24,0,42.29203050000069,,,,,,,,,42.277869700003066,42.29203050000069,42.29203050000069,43.29123320000508,43.77505250000104,up,1,1.4661003000001074,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
25,0,25,up,1,1.5746766999945976,None,0,25,0,25,0,43.79059480000433,,,,,,,,,43.77549640000507,43.79059480000433,43.79059480000433,44.78998030000366,45.37447650000104,up,1,1.5746766999945976,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
26,0,26,up,1,1.4434221999981673,None,0,26,0,26,0,45.38932040000509,,,,,,,,,45.37476710000192,45.38932040000509,45.38932040000509,46.405002100000274,46.839593100005004,up,1,1.4434221999981673,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
27,0,27,up,1,1.3573691999990842,None,0,27,0,27,0,46.8547647000014,,,,,,,,,46.83995130000403,46.8547647000014,46.8547647000014,47.85384090000298,48.22140230000514,up,1,1.3573691999990842,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
