thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,[-0.45],[-0.44166666666666665],[1],[0],[0],[4.50978419999592],['target'],0,0,0,0,0.0958016,,10,0.075712,0.0958016,0.0958016,0.075202,4.5865385,[-0.45],[-0.44166666666666665],[1],[0],[0],[4.50978419999592],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
1,0,1,[0.13703703703703704],[0.2712962962962963],[1],[0],[0],[1.334804099984467],['target'],1,0,1,0,4.6503436,,5,4.6300342,4.6503436,4.6503436,0.0430351,5.9658257,[0.13703703703703704],[0.2712962962962963],[1],[0],[0],[1.334804099984467],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
2,0,2,[0.09814814814814815],[-0.040740740740740744],[1],[0],[0],[1.745460500009358],['target'],2,0,2,0,6.0856577,,10,6.0506098,6.0856577,6.0856577,0.0843363,7.7968744,[0.09814814814814815],[-0.040740740740740744],[1],[0],[0],[1.745460500009358],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
3,0,3,[0.016666666666666666],[-0.010185185185185186],[1],[0],[0],[4.400216100038961],['target'],3,0,3,0,7.894485,,10,7.8753242,7.894485,7.894485,0.0778597,12.2763935,[0.016666666666666666],[-0.010185185185185186],[1],[0],[0],[4.400216100038961],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
4,0,4,[0.43333333333333335],[0.3037037037037037],[1],[0],[0],[1.1409133999841288],['target'],4,0,4,0,12.3364785,,5,12.3166424,12.3364785,12.3364785,0.0397916,13.4584466,[0.43333333333333335],[0.3037037037037037],[1],[0],[0],[1.1409133999841288],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
5,0,5,[0.012962962962962963],[0.022222222222222223],[1],[0],[0],[2.407311800052412],['target'],5,0,5,0,13.5193169,,5,13.4979485,13.5193169,13.5193169,0.0392223,15.9062088,[0.012962962962962963],[0.022222222222222223],[1],[0],[0],[2.407311800052412],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
6,0,6,[0.02962962962962963],[-0.3277777777777778],[1],[0],[0],[2.5000328000169247],['target'],6,0,6,0,16.0192104,,10,15.9863007,16.0192104,16.0192104,0.0797125,18.4874179,[0.02962962962962963],[-0.3277777777777778],[1],[0],[0],[2.5000328000169247],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
7,0,7,[-0.3962962962962963],[0.4898148148148148],[1],[0],[0],[1.587937599979341],['target'],7,0,7,0,18.6277253,,10,18.5979809,18.6277253,18.6277253,0.1099909,20.186783,[-0.3962962962962963],[0.4898148148148148],[1],[0],[0],[1.587937599979341],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
8,0,8,[0.33240740740740743],[0.41388888888888886],[1],[0],[0],[1.6068967999890447],['target'],8,0,8,0,20.2496876,,5,20.227809,20.2496876,20.2496876,0.0406061,21.8356822,[0.33240740740740743],[0.41388888888888886],[1],[0],[0],[1.6068967999890447],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
9,0,9,[-0.29814814814814816],[-0.4648148148148148],[1],[0],[0],[3.264967199997045],['target'],9,0,9,0,22.0007675,,10,21.9488573,22.0007675,22.0007675,0.1124959,25.214694,[-0.29814814814814816],[-0.4648148148148148],[1],[0],[0],[3.264967199997045],['target'],1,1,2025-09-30_11h25.40.414,Visual search main code,2024.2.4,60.06940416,2025-09-30 11h26.00.579474 +0530
