thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.009259259259259259],[0.45555555555555555],[1],[0],[0],[1.625964600010775],['target'],0,0,0,0,0.06930450000800192,,10,0.04906059999484569,0.06930450000800192,0.06930450000800192,0.048752999980933964,1.6755607000086457,[0.009259259259259259],[0.45555555555555555],[1],[0],[0],[1.625964600010775],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
1,0,1,[-0.14722222222222223],[-0.1287037037037037],[1],[0],[0],[1.5400236999848858],['target'],1,0,1,0,1.7354517999337986,,10,1.7171079999534413,1.7354517999337986,1.7354517999337986,0.041342100012116134,3.257609899970703,[-0.14722222222222223],[-0.1287037037037037],[1],[0],[0],[1.5400236999848858],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
2,0,2,[0.42777777777777776],[-0.2972222222222222],[1],[0],[0],[1.5275220000185072],['target'],2,0,2,0,3.287903600023128,,5,3.2780583000276238,3.287903600023128,3.287903600023128,0.020236499956808984,4.806086399941705,[0.42777777777777776],[-0.2972222222222222],[1],[0],[0],[1.5275220000185072],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
3,0,3,[-0.17314814814814813],[-0.3212962962962963],[1],[0],[0],[1.3768439000705257],['target'],3,0,3,0,4.838266999926418,,5,4.827396999928169,4.838266999926418,4.838266999926418,0.021149100037291646,6.204828099929728,[-0.17314814814814813],[-0.3212962962962963],[1],[0],[0],[1.3768439000705257],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
4,0,4,[-0.14907407407407408],[-0.01574074074074074],[1],[0],[0],[1.441249500028789],['target'],4,0,4,0,6.263021499966271,,10,6.245346099953167,6.263021499966271,6.263021499966271,0.040350900031626225,7.687083199969493,[-0.14907407407407408],[-0.01574074074074074],[1],[0],[0],[1.441249500028789],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
5,0,5,[0.275],[0.26944444444444443],[1],[0],[0],[1.2406367999501526],['target'],5,0,5,0,7.746041600010358,,10,7.728778599994257,7.746041600010358,7.746041600010358,0.04145420005079359,8.969921799958684,[0.275],[0.26944444444444443],[1],[0],[0],[1.2406367999501526],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
6,0,6,[-0.18611111111111112],[0.387037037037037],[1],[0],[0],[1.0446141000138596],['target'],6,0,6,0,9.001396200037561,,5,8.990086399950087,9.001396200037561,9.001396200037561,0.019955300027504563,10.035205699969083,[-0.18611111111111112],[0.387037037037037],[1],[0],[0],[1.0446141000138596],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
7,0,7,[0.028703703703703703],[-0.2953703703703704],[1],[0],[0],[1.3901994999032468],['target'],7,0,7,0,10.09346809994895,,10,10.076229099999182,10.09346809994895,10.09346809994895,0.040858799940906465,11.46690719993785,[0.028703703703703703],[-0.2953703703703704],[1],[0],[0],[1.3901994999032468],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
8,0,8,[-0.12777777777777777],[-0.4324074074074074],[1],[0],[0],[1.574073199997656],['target'],8,0,8,0,11.525343399960548,,10,11.507689999998547,11.525343399960548,11.525343399960548,0.04057780001312494,13.082211900036782,[-0.12777777777777777],[-0.4324074074074074],[1],[0],[0],[1.574073199997656],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
9,0,9,[-0.21481481481481482],[0.1],[1],[0],[0],[1.3786670999834314],['target'],9,0,9,0,13.11380209994968,,5,13.102701099938713,13.11380209994968,13.11380209994968,0.02022509998641908,14.48213349992875,[-0.21481481481481482],[0.1],[1],[0],[0],[1.3786670999834314],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
