thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032971000182442367,0.010478300042450428,0.010478300042450428,25.772236899996642,space,25.726871800026856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
0,0,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,2.9575023999786936,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,39.52163060003659,,,,,,,,,25.7753438000218,25.85049830004573,39.52163060003659,39.290092700044625,39.517782200011425,39.61771110002883,39.926758599991444,40.443286399997305,40.443286399997305,40.443286399997305,43.4076756000286,0,1,2.9575023999786936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
1,1,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,3.605862500029616,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,43.470738200005144,,,,,,,,,,,,,43.466676000040025,43.50753160001477,43.80681919999188,44.42294930003118,44.42294930003118,44.42294930003118,48.03741019999143,1,1,3.605862500029616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
2,2,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,1,0,1.450394999992568,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,48.09479040000588,,,,,,,,,,,,,48.090254300041124,48.15359930001432,48.453077400045004,49.052284500037786,49.052284500037786,49.052284500037786,50.51836220000405,1,0,1.450394999992568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
3,3,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,1.1164096999564208,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,50.5827443000162,,,,,,,,,,,,,50.579089600010775,50.619925900013186,50.93411960004596,51.53355280001415,51.53355280001415,51.53355280001415,52.66648170002736,1,1,1.1164096999564208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
0,0,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,2.1198497000150383,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,68.88367080001626,,,,,,,,,,,,,,,,,,,,,,,,52.684985400002915,53.689154600026086,68.67230199999176,68.87846790003823,68.88367080001626,69.18470220000017,69.6676583000226,69.6676583000226,69.6676583000226,71.79974520002725,0,1,2.1198497000150383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
1,1,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,1.911900400009472,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,71.8518621000112,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8477758000372,71.89970950002316,72.19903670001077,72.81482690002304,72.81482690002304,72.81482690002304,74.7304928000085,0,1,1.911900400009472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
2,2,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,1.7496791000012308,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,74.79163480002899,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78773570002522,74.83042880002176,75.12974760000361,75.7289604000398,75.7289604000398,75.7289604000398,77.49479980004253,1,1,1.7496791000012308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
3,3,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,1.5406224000034854,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,77.54966580000473,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5460199000081,77.59459510003217,77.89383230003295,78.51007560000289,78.51007560000289,78.51007560000289,80.0592416000436,0,1,1.5406224000034854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
0,0,0,expimages/balletshoes.jpg,ballet shoes,congruent,leg,dancing,Bag,Ballet shoes,0,,,,,,,,,0,1,1.8713868000195362,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,96.24264539999422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.07337310002185,81.10289380000904,96.06275939999614,96.23758360004285,96.24264539999422,96.54402480000863,97.06047580001177,97.06047580001177,97.06047580001177,98.94299830001546,0,1,1.8713868000195362,None,,,,,,,,,,,,,,,,,,,,,,,0001 An,001,2025-11-22_07h42.41.914,Action Priming Exp,2024.2.4,60.03831643777825,2025-11-22 07h42.56.716406 +0530,
