staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03430200001457706,,0.017446400015614927,0.03430200001457706,0.5554365000571124,0.5554365000571124,0.567241600016132,0.8671294000232592,1.9712054000119679,left,-10.0,1,1,1.395962500013411,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
1,2,8.0,1.9827971000340767,,1.9714285000227392,1.9827971000340767,2.4823858000454493,2.4823858000454493,2.4823858000454493,2.7819091000128537,2.9162842000368983,right,8.0,1,1,0.427363199996762,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
2,2,6.0,2.931897600006778,,2.9164681000402197,2.931897600006778,3.4315775000141002,3.4315775000141002,3.4315775000141002,3.7310480000451207,3.9322574000107124,right,6.0,1,1,0.4967892999993637,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
3,2,4.0,3.947468200000003,,3.9324569000164047,3.947468200000003,4.447126300015952,4.447126300015952,4.447126300015952,4.746995699999388,4.881200100004207,left,-4.0,1,1,0.43064430000958964,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
4,2,2.0,4.896879700012505,,4.88139360002242,4.896879700012505,5.396193000022322,5.396193000022322,5.396193000022322,5.696062200004235,5.8809271000209264,right,2.0,1,1,0.48343610001029447,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
5,1,1.0,5.895962100010365,,5.881124500010628,5.895962100010365,6.395655200001784,6.395655200001784,6.395655200001784,6.695069700013846,6.89613480004482,left,-1.0,0,0,0.4959503000136465,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
6,1,2.0,6.9118613000027835,,6.896321700012777,6.9118613000027835,7.411307500035036,7.411307500035036,7.411307500035036,7.710978000017349,8.194958300038707,right,2.0,1,1,0.7812890000059269,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
7,1,2.0,8.210686600010376,,8.195143200049642,8.210686600010376,8.71025510004256,8.71025510004256,8.71025510004256,9.009799600054976,9.527268300007563,left,-2.0,1,1,0.8079619000200182,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
8,1,2.0,9.542614000034519,,9.527463800041005,9.542614000034519,10.04242430004524,10.04242430004524,10.04242430004524,10.34209109999938,10.59291010000743,left,-2.0,1,1,0.5437643000041135,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
9,1,1.0,10.608610900002532,,10.593096500029787,10.608610900002532,11.108187800040469,11.108187800040469,11.108187800040469,11.408069400000386,11.975469200056978,left,-1.0,1,1,0.86544900003355,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
10,1,1.0,11.990636000002269,,11.975697900052182,11.990636000002269,12.49031120003201,12.49031120003201,12.49031120003201,12.789763900043909,13.057191300031263,right,1.0,1,1,0.5550691999960691,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
11,0.5,1.0,13.072976100025699,,13.057432300003711,13.072976100025699,13.572636200056877,13.572636200056877,13.572636200056877,13.872330200043507,14.573007900035009,left,-1.0,0,0,0.9857076999614947,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
12,0.5,1.5,14.588310100021772,,14.573197300022002,14.588310100021772,15.08797280001454,15.08797280001454,15.08797280001454,15.387602900038473,15.638819100044202,right,1.5,1,1,0.5454995000036433,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
13,0.5,1.5,15.653948200051673,,15.63907640002435,15.653948200051673,16.153824000037275,16.153824000037275,16.153824000037275,16.453474900044966,16.637846200028434,right,1.5,1,1,0.47995429998263717,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
14,0.5,1.5,16.653428800054826,,16.638027500011958,16.653428800054826,17.152968000038527,17.152968000038527,17.152968000038527,17.45240140001988,18.036439100047573,left,-1.5,0,0,0.8791185999871232,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
15,0.5,2.0,18.05221370002255,,18.036632300005294,18.05221370002255,18.551465000025928,18.551465000025928,18.551465000025928,18.85126660001697,19.01898190000793,right,2.0,1,1,0.46527440001955256,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
16,0.5,2.0,19.03467120003188,,19.019165500008967,19.03467120003188,19.534224600007292,19.534224600007292,19.534224600007292,19.83365430001868,20.20109930000035,left,-2.0,1,1,0.6560844999621622,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
17,0.5,2.0,20.216951100039296,,20.20128170005046,20.216951100039296,20.716390900022816,20.716390900022816,20.716390900022816,21.016289200051688,21.183893400011584,left,-2.0,1,1,0.451324800029397,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
18,0.5,1.5,21.19934660004219,,21.184099500009324,21.19934660004219,21.699034700053744,21.699034700053744,21.699034700053744,21.998486200056504,22.299464700045064,right,1.5,1,1,0.5859959999797866,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
19,0.5,1.5,22.315123500011396,,22.299647200037725,22.315123500011396,22.81463800003985,22.81463800003985,22.81463800003985,23.114194700028747,23.233563900052104,right,1.5,1,1,0.40562059998046607,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
20,0.5,1.5,23.248874100041576,,23.23374610004248,23.248874100041576,23.74854110000888,23.74854110000888,23.74854110000888,24.06337500002701,24.23125930002425,right,1.5,1,1,0.47749170003226027,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
21,0.5,1.0,24.246428700047545,,24.23147009999957,24.246428700047545,24.746299500053283,24.746299500053283,24.746299500053283,25.045830900024157,25.230407000053674,right,1.0,1,1,0.4762386999791488,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
22,0.5,1.0,25.24567620002199,,25.23058560001664,25.24567620002199,25.74521820002701,25.74521820002701,25.74521820002701,26.044995600008406,26.19602760003181,right,1.0,1,1,0.44433730002492666,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
23,0.5,1.0,26.211456300050486,,26.196232400019653,26.211456300050486,26.71116470004199,26.71116470004199,26.71116470004199,27.011047600011807,27.14536710001994,right,1.0,1,1,0.41798450000351295,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
24,0.5,1.0,27.1608367000008,,27.145561600045767,27.1608367000008,27.660633200022858,27.660633200022858,27.660633200022858,27.96009430004051,28.11111150000943,left,-1.0,0,0,0.44584200001554564,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
25,0.5,1.5,28.126592400018126,,28.111299700045493,28.126592400018126,28.626355700020213,28.626355700020213,28.626355700020213,28.925676800019573,29.2766972000245,left,-1.5,1,1,0.6478026999975555,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
26,0.5,1.5,29.292305800016038,,29.276879900018685,29.292305800016038,29.79177560005337,29.79177560005337,29.79177560005337,30.09147350001149,30.325797600031365,left,-1.5,1,1,0.5310439000022598,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
27,0.5,1.5,30.34123710001586,,30.325983500049915,30.34123710001586,30.840923700015992,30.840923700015992,30.840923700015992,31.140438200032804,31.374830000044312,right,1.5,1,1,0.5266364999697544,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
28,0.5,1.0,31.39044060005108,,31.37501360004535,31.39044060005108,31.890062700025737,31.890062700025737,31.890062700025737,32.18955280003138,32.30768850003369,left,-1.0,1,1,0.40611209999769926,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
29,0.5,1.0,32.32288550003432,,32.30798300000606,32.32288550003432,32.82268240000121,32.82268240000121,32.82268240000121,33.12225590000162,33.2732789000147,right,1.0,1,1,0.44493219995638356,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
30,0.5,1.0,33.28888160001952,,33.27346740005305,33.28888160001952,33.788354700023774,33.788354700023774,33.788354700023774,34.08811250003055,34.77214380004443,left,-1.0,1,1,0.9816445999895222,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
31,0.5,1.0,34.787496500008274,,34.77235650003422,34.787496500008274,35.28709890000755,35.28709890000755,35.28709890000755,35.58668950002175,36.03742750000674,right,1.0,1,1,0.7427236000075936,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
32,0.5,1.0,36.05297670001164,,36.03761870000744,36.05297670001164,36.552706100046635,36.552706100046635,36.552706100046635,36.85228770005051,37.21968670003116,left,-1.0,1,1,0.6652652000193484,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
33,0.5,1.0,37.235378100012895,,37.2198703000322,37.235378100012895,37.73497490002774,37.73497490002774,37.73497490002774,38.03466430003755,38.56878210004652,left,-1.0,1,1,0.8231074000359513,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
34,0.5,1.0,38.58427750004921,,38.568982299999334,38.58427750004921,39.083747200027574,39.083747200027574,39.083747200027574,39.3833641000092,39.734225400025025,right,1.0,0,0,0.6452894000103697,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
35,0.5,1.5,39.74977600004058,,39.73441180004738,39.74977600004058,40.24937690002844,40.24937690002844,40.24937690002844,40.549025500018615,40.71690820000367,right,1.5,1,1,0.4627274999511428,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
