12.9731 	INFO 	Loaded monitor calibration from ['2025_02_12 09:50']
15.0121 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025A3C3248E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025A3C324880>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025A3C3EB0A0>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 240.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.0122 	EXP 	window1: backgroundImage = ''
15.0123 	EXP 	window1: backgroundFit = 'none'
15.1706 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.1706 	EXP 	window1: recordFrameIntervals = False
15.3609 	EXP 	window1: recordFrameIntervals = True
15.5444 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
15.5445 	EXP 	window1: recordFrameIntervals = False
15.5575 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
20.0286 	INFO 	keyboard.Keyboard is using iohub backend.
20.0287 	INFO 	keyboard.Keyboard is using iohub backend.
20.0287 	EXP 	untitled: status = STARTED
20.0333 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
20.0383 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0173 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0343 	EXP 	grating: ori = -10.0
0.0343 	EXP 	fixation: autoDraw = True
0.5558 	INFO 	Keyboard events cleared
0.5554 	EXP 	grating: autoDraw = True
0.5554 	EXP 	grating: tex = 'sin'
0.5672 	EXP 	fixation: autoDraw = False
0.8671 	EXP 	grating: autoDraw = False
1.9727 	DATA 	Keypress: left
1.9828 	EXP 	fixation: autoDraw = False
1.9828 	EXP 	grating: autoDraw = False
1.9828 	EXP 	grating: ori = 8.0
1.9828 	EXP 	fixation: autoDraw = True
2.4829 	INFO 	Keyboard events cleared
2.4824 	EXP 	fixation: autoDraw = False
2.4824 	EXP 	grating: autoDraw = True
2.7819 	EXP 	grating: autoDraw = False
2.9176 	DATA 	Keypress: right
2.9319 	EXP 	fixation: autoDraw = False
2.9319 	EXP 	grating: autoDraw = False
2.9319 	EXP 	grating: ori = 6.0
2.9319 	EXP 	fixation: autoDraw = True
3.4320 	INFO 	Keyboard events cleared
3.4316 	EXP 	fixation: autoDraw = False
3.4316 	EXP 	grating: autoDraw = True
3.7310 	EXP 	grating: autoDraw = False
3.9337 	DATA 	Keypress: right
3.9475 	EXP 	fixation: autoDraw = False
3.9475 	EXP 	grating: autoDraw = False
3.9475 	EXP 	grating: ori = -4.0
3.9475 	EXP 	fixation: autoDraw = True
4.4476 	INFO 	Keyboard events cleared
4.4471 	EXP 	fixation: autoDraw = False
4.4471 	EXP 	grating: autoDraw = True
4.7470 	EXP 	grating: autoDraw = False
4.8827 	DATA 	Keypress: left
4.8969 	EXP 	fixation: autoDraw = False
4.8969 	EXP 	grating: autoDraw = False
4.8969 	EXP 	grating: ori = 2.0
4.8969 	EXP 	fixation: autoDraw = True
5.3967 	INFO 	Keyboard events cleared
5.3962 	EXP 	fixation: autoDraw = False
5.3962 	EXP 	grating: autoDraw = True
5.6961 	EXP 	grating: autoDraw = False
5.8822 	DATA 	Keypress: right
5.8960 	EXP 	fixation: autoDraw = False
5.8960 	EXP 	grating: autoDraw = False
5.8960 	EXP 	grating: ori = -1.0
5.8960 	EXP 	fixation: autoDraw = True
6.3962 	INFO 	Keyboard events cleared
