thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031234999769367278,0.014343599963467568,0.014343599963467568,46.533833499997854,space,46.49428750004154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
0,0,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,2.68788520002272,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,60.22971330001019,,,,,,,,,46.53648000000976,46.57812149997335,60.22971330001019,60.048936099978164,60.22673080000095,60.34710409998661,60.661814699997194,61.19418379996205,61.19418379996205,61.19418379996205,63.892450999992434,0,1,2.68788520002272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
1,1,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,1,0,1.0154528000275604,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,63.91937909997068,,,,,,,,,,,,,63.91592379997019,63.99255429999903,64.29190469998866,64.9077205999638,64.9077205999638,64.9077205999638,65.92508249997627,1,0,1.0154528000275604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
2,2,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,1.2757883000303991,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,65.95851550000953,,,,,,,,,,,,,65.95521310000913,66.04085190000478,66.34014429996023,66.93921909999335,66.93921909999335,66.93921909999335,68.22232780000195,1,1,1.2757883000303991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
3,3,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,0.5366115999640897,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,68.25314929999877,,,,,,,,,,,,,68.24958929995773,68.33876799995778,68.63784159999341,69.23730969999451,69.23730969999451,69.23730969999451,69.78725559997838,1,1,0.5366115999640897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
0,0,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,1.3163038999773562,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,85.96109220001381,,,,,,,,,,,,,,,,,,,,,,,,69.79789129999699,70.84852599998703,85.79145969997626,85.95654709998053,85.96109220001381,86.2727648,86.78887459996622,86.78887459996622,86.78887459996622,88.12125540000852,1,1,1.3163038999773562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
1,1,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,1.4522545000072569,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,88.14327579998644,,,,,,,,,,,,,,,,,,,,,,,,,,,88.14018039999064,88.22123629995622,88.52071159996558,89.13644599996042,89.13644599996042,89.13644599996042,90.60262439999497,0,1,1.4522545000072569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
2,2,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,1.3547040999983437,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,90.61973959999159,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61656880000373,90.70261109998683,91.00193779997062,91.61777650000295,91.61777650000295,91.61777650000295,92.98395460000029,0,1,1.3547040999983437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
3,3,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,1.0033353000180796,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,93.0000056999852,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99591249995865,93.08366419997765,93.38305349997245,93.99924460001057,93.99924460001057,93.99924460001057,95.01553929998772,0,1,1.0033353000180796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
0,0,0,expimages/skipping-rope.jpg,skipping rope,incongruent,leg,dancing,Skipping rope,Mic,1,,,,,,,,,1,1,2.5653132000006735,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,111.15164589998312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0250415999908,96.04274840001017,111.01909849996446,111.14695029996801,111.15164589998312,111.45060459995875,112.01641659997404,112.01641659997404,112.01641659997404,114.598315500014,1,1,2.5653132000006735,None,,,,,,,,,,,,,,,,,,,,,,,0002 Ad,001,2025-11-22_12h48.28.165,Action Priming Exp,2024.2.4,60.113927908903534,2025-11-22 12h48.45.662780 +0530,
