thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030513000092469156,0.008508600003551692,0.008508600003551692,34.65558009996312,space,34.630536999960896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
0,0,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,0.5361353000043891,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,48.39018290000968,,,,,,,,,34.65701159997843,34.730956299987156,48.39018290000968,48.194728299975395,48.38709779997589,48.488903799967375,48.792194599984214,49.34171549999155,49.34171549999155,49.34171549999155,49.8916365999612,1,1,0.5361353000043891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
1,1,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,1,0,0.8788774000131525,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,49.9140849999967,,,,,,,,,,,,,49.91094420000445,49.99162260000594,50.29064109997125,50.907166399993,50.907166399993,50.907166399993,51.789924999990035,1,0,0.8788774000131525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
2,2,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,0.6640680000418797,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,51.83181110001169,,,,,,,,,,,,,51.82852499996079,51.89011959999334,52.18922729999758,52.805167599988636,52.805167599988636,52.805167599988636,53.471893000009004,1,1,0.6640680000418797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
3,3,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,0.6967746000154875,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,53.49000160000287,,,,,,,,,,,,,53.48645289998967,53.57173949998105,53.87086620001355,54.487322799977846,54.487322799977846,54.487322799977846,55.187325300008524,0,1,0.6967746000154875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
0,0,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,1.3601870999555103,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,71.33332500001416,,,,,,,,,,,,,,,,,,,,,,,,55.19895559997531,56.20826980000129,71.19137989997398,71.32879709999543,71.33332500001416,71.63909589999821,72.18834449996939,72.18834449996939,72.18834449996939,73.55441199999768,0,1,1.3601870999555103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
1,1,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,0.7338484000065364,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,73.58157839998603,,,,,,,,,,,,,,,,,,,,,,,,,,,73.57815149996895,73.65442509995773,73.9533633000101,74.56958199996734,74.56958199996734,74.56958199996734,75.31949369999347,0,1,0.7338484000065364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
2,2,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,1.2664718000451103,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,75.36199169995962,,,,,,,,,,,,,,,,,,,,,,,,,,,75.35909139999421,75.41931839997414,75.71854569995776,76.33476279996103,76.33476279996103,76.33476279996103,77.61724029999459,1,1,1.2664718000451103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
3,3,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,1.4111374999629334,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,77.63930209999671,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6365216000122,77.71727640001336,78.01667789998464,78.6326820999966,78.6326820999966,78.6326820999966,80.04884870001115,0,1,1.4111374999629334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
0,0,0,expimages/ghungroo.jpg,anklet bells/ghungroo,congruent,leg,dancing,Ghungroo/anklet bells,Musical instrument,1,,,,,,,,,1,1,1.1382293999777175,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,96.20822259999113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.05736949999118,81.08672739996109,96.05242149997503,96.20363989996258,96.20822259999113,96.51754099997925,97.04998780001188,97.04998780001188,97.04998780001188,98.19970900000772,1,1,1.1382293999777175,None,,,,,,,,,,,,,,,,,,,,,,,0003 Ar,001,2025-11-22_19h52.02.837,Action Priming Exp,2024.2.4,59.955453080227045,2025-11-22 19h52.12.477795 +0530,
