thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003274,0.0088932,0.0088932,1.2991731,space,1.2685171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
0,0,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,0,1,1.1028493,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,14.9849505,,,,,,,,,1.3006225,1.3546493,14.9849505,14.8166043,14.9819622,15.1058277,15.4114715,15.9607252,15.9607252,15.9607252,24.0710693,0,1,1.1028493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
1,1,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,1.1296035,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,24.104414,,,,,,,,,,,,,24.100796,24.189417,24.5032859,25.0861023,25.0861023,25.0861023,26.2187851,1,1,1.1296035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
2,2,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,0.8625822,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,26.243157,,,,,,,,,,,,,26.2397038,26.3188688,26.6182876,27.2343467,27.2343467,27.2343467,28.1006962,0,1,0.8625822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
3,3,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,1.0899676,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,28.1278097,,,,,,,,,,,,,28.1244774,28.2004472,28.4997244,29.1160018,29.1160018,29.1160018,30.215496,1,1,1.0899676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
0,0,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,1.4014732,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,46.3755846,,,,,,,,,,,,,,,,,,,,,,,,30.2264998,31.2661241,46.2193718,46.3709104,46.3755846,46.6838797,47.2164821,47.2164821,47.2164821,48.6329855,0,1,1.4014732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
1,1,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,0.5101839,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,48.6505462,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6470777,48.7492214,49.0483814,49.6482084,49.6482084,49.6482084,50.1645502,0,1,0.5101839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
2,2,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,1.1523401,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,50.1882647,,,,,,,,,,,,,,,,,,,,,,,,,,,50.185138,50.2649287,50.5642283,51.1799755,51.1799755,51.1799755,52.3462105,1,1,1.1523401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
3,3,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,0.799763,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,52.368367,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3652868,52.4461895,52.7454309,53.3615549,53.3615549,53.3615549,54.1779649,0,1,0.799763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
0,0,0,expimages/ghungroo.jpg,anklet bells/ghungroo,congruent,leg,dancing,Ghungroo/anklet bells,Musical instrument,1,,,,,,,,,1,1,2.1311684,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,70.3255375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1888293,55.2160852,70.1817106,70.3211729,70.3255375,70.6299054,71.1793227,71.1793227,71.1793227,73.3113108,1,1,2.1311684,None,,,,,,,,,,,,,,,,,,,,,,,483467,1,2025-11-21_13h06.16.440,Action Priming Exp,2024.2.4,60.08607931,2025-11-21 13h06.22.023697 +0530
