thisN,thisTrialN,thisRepN,imagefile,object,congruency,actiontype,action,option1,option2,corr_res,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trial1_loop.thisRepN,trial1_loop.thisTrialN,trial1_loop.thisN,trial1_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials3_loop.thisRepN,trials3_loop.thisTrialN,trials3_loop.thisN,trials3_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trial2_loop.thisRepN,trial2_loop.thisTrialN,trial2_loop.thisN,trial2_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials4_loop.thisRepN,trials4_loop.thisTrialN,trials4_loop.thisN,trials4_loop.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Welcome.started,Instruction.started,key_resp_3.started,Welcome.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,writing_2.started,writing.started,writing.stopped,writing_2.stopped,write_img.started,writeimg.started,writeimg.stopped,option1_text.started,option2_text.started,key_resp.started,write_img.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,walking.started,walkingvid.started,walking.stopped,walking_img.started,walkingimg.started,walkingimg.stopped,option1_text_3.started,option2_text_3.started,key_resp_4.started,walking_img.stopped,trials_3.key_resp_4.keys,trials_3.key_resp_4.corr,trials_3.key_resp_4.rt,trials_3.key_resp_4.duration,dancing.started,dance.started,dancing.stopped,dance_img.started,danceimg.started,danceimg.stopped,option1_text_2.started,option2_text_2.started,key_resp_2.started,dance_img.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Handswing.started,handswinging.started,handswinging.stopped,Handswing.stopped,handswing_img.started,handswingimg.started,handswingimg.stopped,option1_text_4.started,option2_text_4.started,key_resp_5.started,handswing_img.stopped,trials_4.key_resp_5.keys,trials_4.key_resp_5.corr,trials_4.key_resp_5.rt,trials_4.key_resp_5.duration,Bye.started,thanks.started,key_resp_6.started,Bye.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003053100001125131,0.009356900001876056,0.009356900001876056,19.384259500002372,space,19.35846709999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
0,0,0,expimages/frisbee.PNG,frisbee disc,incongruent,hand,writing,Frisbee Disc,Floor mat,1,1,1,0.8970655000011902,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,33.09713919999922,,,,,,,,,19.38565980000567,19.442007100005867,33.09713919999922,32.91479710000567,33.094061900003,33.20909680000477,33.51360740000382,34.062930300002336,34.062930300002336,34.062930300002336,34.96244210000441,1,1,0.8970655000011902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
1,1,0,expimages/keyboard.jpg,keyboard,incongruent,hand,writing,Containers,Keyboard,0,0,1,1.4470480000018142,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,34.97844090000581,,,,,,,,,,,,,34.97531929999968,35.06290740000259,35.362028100003954,35.97829040000215,35.97829040000215,35.97829040000215,37.42730819999997,0,1,1.4470480000018142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
2,2,0,expimages/paintbrush.jpg,paint brush,congruent,hand,writing,Paint Brush,Bat,1,1,1,0.7819081999987247,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,37.45438060000015,,,,,,,,,,,,,37.45126020000316,37.543742500005465,37.84296919999906,38.44284950000292,38.44284950000292,38.44284950000292,39.22602890000417,1,1,0.7819081999987247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
3,3,0,expimages/crayons.jpg,crayon,congruent,hand,writing,Bottles,Crayons,0,0,1,0.33623439999792026,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,39.25260430000344,,,,,,,,,,,,,39.24879499999952,39.325582700003,39.62466790000326,40.24106700000266,40.24106700000266,40.24106700000266,40.59149389999948,0,1,0.33623439999792026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
0,0,0,expimages/ice-skates.JPG,ice skate,incongruent,leg,walking,Ice skates,Lamp,1,,,,,1,1,1.3336512000023504,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,56.77609730000404,,,,,,,,,,,,,,,,,,,,,,,,40.60285840000142,41.61613120000402,56.59608540000045,56.77166720000241,56.77609730000404,57.07639430000563,57.59255050000502,57.59255050000502,57.59255050000502,58.941845100001956,1,1,1.3336512000023504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
1,1,0,expimages/slippers.jpg,slippers,congruent,leg,walking,Purse,Slippers,0,,,,,0,1,0.333801399996446,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,58.96377439999924,,,,,,,,,,,,,,,,,,,,,,,,,,,58.960782900001504,59.042000300003565,59.34107180000137,59.95735070000228,59.95735070000228,59.95735070000228,60.30708980000054,0,1,0.333801399996446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
2,2,0,expimages/shoes.JPG,shoes,congruent,leg,walking,Baseball gloves,Shoes,0,,,,,0,1,0.6561826000033761,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,60.32706970000436,,,,,,,,,,,,,,,,,,,,,,,,,,,60.32405400000425,60.40717710000172,60.70632430000114,61.32235110000329,61.32235110000329,61.32235110000329,61.98908490000031,0,1,0.6561826000033761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
3,3,0,expimages/skateboard.jpg,skateboard,incongruent,leg,walking,Plate,Skateboard,0,,,,,0,1,2.8633708999986993,None,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,62.00907140000345,,,,,,,,,,,,,,,,,,,,,,,,,,,62.00557459999982,62.08943680000084,62.38837410000269,63.00425389999873,63.00425389999873,63.00425389999873,65.8691456000015,0,1,2.8633708999986993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
0,0,0,expimages/skateboard.jpg,skateboard,incongruent,leg,dancing,Paint roller,Skateboard,0,,,,,,,,,0,1,1.1957583999974304,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,82.01202670000202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8806018000032,66.9025219000032,81.87318570000207,82.00758820000192,82.01202670000202,82.3211106000017,82.87048190000496,82.87048190000496,82.87048190000496,84.06991000000562,0,1,1.1957583999974304,None,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
1,1,0,expimages/balletshoes.jpg,ballet shoes,congruent,leg,dancing,Bag,Ballet shoes,0,,,,,,,,,0,1,0.3759379999974044,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,84.09134150000318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08801420000236,84.16961070000252,84.46925880000344,85.08508509999956,85.08508509999956,85.08508509999956,85.46900010000536,0,1,0.3759379999974044,None,,,,,,,,,,,,,,,,,,,,,,,0006,001,2025-11-23_08h21.40.201,Action Priming Exp,2024.2.4,60.03301815893491,2025-11-23 08h22.10.644671 +0530,
