delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.7,1000,exp,0,0,0,space,1.5257339,None,350,1,[14.64843679999467],[14.6484467999544],0,0,0,29,0.0440537,,0.0391078,0.0440537,1.0125223,1.0125223,1.0458365,2.5542057,space,1.5257339,None,2.555104,3.260776767,3.5333758,3.5107181,3.5116154,3.5333758,3.5333758,3.5333758,18.18218,350,1,[14.64843679999467],[14.6484467999544],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.1,1000,exp,1,1,0,space,0.9230678,None,200,1,[3.5587655999697745],[3.5587767999386415],0,1,1,24,18.1977825,,18.1824673,18.1977825,19.1970552,19.1970552,19.1970552,20.1301665,space,0.9230678,None,20.1329238,20.24606647,20.5349263,20.5127357,20.5135334,20.5349263,20.5349263,20.5349263,24.0940685,200,1,[3.5587655999697745],[3.5587767999386415],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.1,1000,exp,2,2,0,space,1.2333533,None,100,1,[3.3065732000395656],[3.3065829999977723],0,2,2,18,24.109251,,24.0943535,24.109251,25.1080844,25.1080844,25.1248855,26.357461,space,1.2333533,None,26.3592629,26.45716847,26.7819487,26.7577018,26.7586883,26.7819487,26.7819487,26.7819487,30.0889009,100,1,[3.3065732000395656],[3.3065829999977723],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.4,1000,exp,3,3,0,space,0.3311028,None,200,1,[1.778020799974911],[1.7780382999917492],0,3,3,10,30.1035934,,30.0892312,30.1035934,31.103226,31.103226,31.103226,31.4370453,space,0.3311028,None,31.4395479,31.85254467,32.1904122,32.1646634,32.1659658,32.1904122,32.1904122,32.1904122,33.9688267,200,1,[1.778020799974911],[1.7780382999917492],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.7,1000,exp,4,4,0,space,0.8730048,None,300,1,[3.956031800014898],[3.9560414999723434],0,4,4,26,33.9835528,,33.9691471,33.9835528,34.98281,34.98281,34.98281,35.866258,space,0.8730048,None,35.8677552,36.58180817,36.8897623,36.8651734,36.8664306,36.8897623,36.8897623,36.8897623,40.8461924,300,1,[3.956031800014898],[3.9560414999723434],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.4,1000,exp,5,5,0,space,0.9804936,None,300,1,[3.723908800049685],[3.723919300013222],0,5,5,13,40.8613096,,40.8465212,40.8613096,41.8602091,41.8602091,41.8602091,42.8435898,space,0.9804936,None,42.8470468,43.25919077,43.5325641,43.5092798,43.5100414,43.5325641,43.5325641,43.5325641,47.2568548,300,1,[3.723908800049685],[3.723919300013222],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.4,1000,exp,6,6,0,space,0.7957468,None,200,1,[2.6475703000323847],[2.6475796999875456],0,6,6,28,47.2723963,,47.257183,47.2723963,48.2716254,48.2716254,48.2716254,49.0711699,space,0.7957468,None,49.0734866,49.47052597,49.7880113,49.7725236,49.7733093,49.7880113,49.7880113,49.7880113,52.4359456,200,1,[2.6475703000323847],[2.6475796999875456],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.1,1000,exp,7,7,0,space,0.3741172,None,100,1,[1.904808699968271],[1.90481830004137],0,7,7,15,52.4512333,,52.4363408,52.4512333,53.4504489,53.4504489,53.4504489,53.8338234,space,0.3741172,None,53.8352773,53.93309967,54.2775448,54.2538993,54.2549144,54.2775448,54.2775448,54.2775448,56.1827376,100,1,[1.904808699968271],[1.90481830004137],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.7,1000,exp,8,8,0,space,1.7765188,None,400,1,[7.163577900035307],[7.163588199997321],0,8,8,11,56.1978142,,56.1830038,56.1978142,57.197269,57.197269,57.2138419,58.979606,space,1.7765188,None,58.9822995,59.69464497,60.008835,59.9858754,59.9868253,60.008835,60.008835,60.008835,67.1727956,400,1,[7.163577900035307],[7.163588199997321],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
0.1,1000,exp,9,9,0,space,0.5875413,None,100,1,[2.4424311000620946],[2.442441300023347],0,9,9,21,67.1884728,,67.1730746,67.1884728,68.1876329,68.1876329,68.1876329,68.7878092,space,0.5875413,None,68.7904754,68.88700697,69.2094339,69.1884793,69.1891963,69.2094339,69.2094339,69.2094339,71.6522353,100,1,[2.4424311000620946],[2.442441300023347],1,1,2025-11-13_08h52.50.286,Intentional Binding Main File,2024.2.4,60.03936184,2025-11-13 08h53.04.053301 +0530
