word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,text.stopped,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0033395998179912567,0.01276679988950491,0.01276679988950491,2.7207875000312924,space,2.6904664002358913,None,,,,,,,,,,,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
BLUE,red,I,r,0,0,0,b,0,1.604677100200206,None,0,0,0,2,2.754433299880475,,,,,,,,,2.7483708998188376,2.754433299880475,3.229132399894297,3.229132399894297,3.229132399894297,4.846133400220424,b,0,1.604677100200206,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
RED,blue,I,b,1,1,0,b,1,1.5371667998842895,None,0,1,1,1,4.861102200113237,,,,,,,,,4.852184600196779,4.861102200113237,5.36071169981733,5.36071169981733,5.36071169981733,6.911087399814278,b,1,1.5371667998842895,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.8361650998704135,None,0,2,2,3,6.9261886002495885,,,,,,,,,6.916030299849808,6.9261886002495885,7.425518299918622,7.425518299918622,7.425518299918622,8.27637130022049,b,1,0.8361650998704135,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
RED,red,C,r,3,3,0,r,1,0.8207129999063909,None,0,3,3,0,8.29140490014106,,,,,,,,,8.282437500078231,8.29140490014106,8.791136899963021,8.791136899963021,8.791136899963021,9.624906499870121,r,1,0.8207129999063909,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
BLUE,red,I,r,4,0,1,r,1,1.8013913999311626,None,1,0,4,2,9.640254400204867,,,,,,,,,9.630155799910426,9.640254400204867,10.139864900149405,10.139864900149405,10.139864900149405,11.956615400034934,r,1,1.8013913999311626,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
RED,red,C,r,5,1,1,r,1,0.9612696999683976,None,1,1,5,0,11.971773399971426,,,,,,,,,11.962625400163233,11.971773399971426,12.471354600042105,12.471354600042105,12.471354600042105,13.438210600055754,r,1,0.9612696999683976,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.7362500000745058,None,1,2,6,3,13.45349740004167,,,,,,,,,13.443259399849921,13.45349740004167,13.95312360022217,13.95312360022217,13.95312360022217,14.703791500069201,b,1,0.7362500000745058,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
RED,blue,I,b,7,3,1,b,1,0.6292256000451744,None,1,3,7,1,14.719161500222981,,,,,,,,,14.709580200258642,14.719161500222981,15.21877249982208,15.21877249982208,15.21877249982208,15.852929499931633,b,1,0.6292256000451744,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
BLUE,red,I,r,8,0,2,r,1,0.7782510998658836,None,2,0,8,2,15.868364400230348,,,,,,,,,15.857937400229275,15.868364400230348,16.367866300046444,16.367866300046444,16.367866300046444,17.151857200078666,r,1,0.7782510998658836,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
RED,red,C,r,9,1,2,r,1,0.6207679002545774,None,2,1,9,0,17.167259000241756,,,,,,,,,17.15732439979911,17.167259000241756,17.66657319990918,17.66657319990918,17.66657319990918,18.300641300156713,r,1,0.6207679002545774,None,,,,,,0001,001,2025-08-24_23h26.43.535,Stroop Task Data,2024.2.4,60.0255229069258,2025-08-24 23h27.03.693129 +0530,
